Iteration,ProcessID,VoluntaryContextSwaps,Non-VoluntaryContextswaps,Load,Distribution,ServiceTime,Frequency,TicksToSpin,TargetStopTick,ActualStopTick,TickDelta
0,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124863654019668,2124863654019720,52
1,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124865545180256,2124865545180276,20
2,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124867436292524,2124867436292564,40
3,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124869327399308,2124869327399352,44
4,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124871218502460,2124871218502468,8
5,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124873109606356,2124873109606376,20
6,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124875000709260,2124875000709304,44
7,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124876891807372,2124876891807428,56
8,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124878782909888,2124878782909904,16
9,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124880674009152,2124880674009172,20
10,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124882565122772,2124882565122804,32
11,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124884456226788,2124884456226792,4
12,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124886347348616,2124886347348664,48
13,0,0,2,noop,Deterministic,1,1891000000,1891000000,2124888238453500,2124888238453560,60
14,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124890129561744,2124890129561776,32
15,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124892020668240,2124892020668252,12
16,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124893911771168,2124893911771216,48
17,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124895802870304,2124895802870328,24
18,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124897693972736,2124897693972748,12
19,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124899585073408,2124899585073412,4
20,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124901476174552,2124901476174568,16
21,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124903367275976,2124903367276008,32
22,0,0,2,noop,Deterministic,1,1891000000,1891000000,2124905258375684,2124905258375740,56
23,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124907149484224,2124907149484264,40
24,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124909040586576,2124909040586628,52
25,0,0,2,noop,Deterministic,1,1891000000,1891000000,2124910931686724,2124910931686760,36
26,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124912822792320,2124912822792372,52
27,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124914713892396,2124914713892404,8
28,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124916604991544,2124916604991584,40
29,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124918496096004,2124918496096028,24
30,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124920387195212,2124920387195244,32
31,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124922278294296,2124922278294348,52
32,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124924169398720,2124924169398772,52
33,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124926060495420,2124926060495468,48
34,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124927951597816,2124927951597872,56
35,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124929842696696,2124929842696740,44
36,0,0,2,noop,Deterministic,1,1891000000,1891000000,2124931733800932,2124931733800940,8
37,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124933624904140,2124933624904164,24
38,0,0,2,noop,Deterministic,1,1891000000,1891000000,2124935516011272,2124935516011284,12
39,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124937407115572,2124937407115576,4
40,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124939298212608,2124939298212664,56
41,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124941189310512,2124941189310536,24
42,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124943080411136,2124943080411180,44
43,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124944971509272,2124944971509324,52
44,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124946862610624,2124946862610644,20
45,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124948753709160,2124948753709176,16
46,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124950644808824,2124950644808836,12
47,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124952535908080,2124952535908132,52
48,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124954427011560,2124954427011592,32
49,0,0,2,noop,Deterministic,1,1891000000,1891000000,2124956318112280,2124956318112316,36
50,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124958209214404,2124958209214452,48
51,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124960100316612,2124960100316620,8
52,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124961991417188,2124961991417192,4
53,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124963882515880,2124963882515884,4
54,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124965773616428,2124965773616480,52
55,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124967664717404,2124967664717428,24
56,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124969555816776,2124969555816784,8
57,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124971446917716,2124971446917736,20
58,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124973338014200,2124973338014216,16
59,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124975229115716,2124975229115748,32
60,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124977120217284,2124977120217296,12
61,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124979011316120,2124979011316172,52
62,0,0,3,noop,Deterministic,1,1891000000,1891000000,2124980902415520,2124980902415540,20
63,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124982793520756,2124982793520784,28
64,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124984684621528,2124984684621536,8
65,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124986575721880,2124986575721896,16
66,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124988466821136,2124988466821188,52
67,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124990357922708,2124990357922744,36
68,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124992249021184,2124992249021236,52
69,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124994140118540,2124994140118596,56
70,0,0,0,noop,Deterministic,1,1891000000,1891000000,2124996031219960,2124996031220012,52
71,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124997922321852,2124997922321888,36
72,0,0,1,noop,Deterministic,1,1891000000,1891000000,2124999813422692,2124999813422708,16
73,0,0,0,noop,Deterministic,1,1891000000,1891000000,2125001704523916,2125001704523920,4
74,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125003595621200,2125003595621248,48
75,0,0,2,noop,Deterministic,1,1891000000,1891000000,2125005486721460,2125005486721472,12
76,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125007377824368,2125007377824392,24
77,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125009268925876,2125009268925900,24
78,0,0,0,noop,Deterministic,1,1891000000,1891000000,2125011160033016,2125011160033072,56
79,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125013051134780,2125013051134800,20
80,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125014942236544,2125014942236568,24
81,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125016833341272,2125016833341276,4
82,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125018724440864,2125018724440924,60
83,0,0,0,noop,Deterministic,1,1891000000,1891000000,2125020615542308,2125020615542360,52
84,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125022506638648,2125022506638692,44
85,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125024397741764,2125024397741776,12
86,0,0,0,noop,Deterministic,1,1891000000,1891000000,2125026288843768,2125026288843828,60
87,0,0,2,noop,Deterministic,1,1891000000,1891000000,2125028179942996,2125028179943032,36
88,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125030071047808,2125030071047828,20
89,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125031962146240,2125031962146264,24
90,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125033853247628,2125033853247644,16
91,0,0,0,noop,Deterministic,1,1891000000,1891000000,2125035744348800,2125035744348820,20
92,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125037635449344,2125037635449388,44
93,0,0,0,noop,Deterministic,1,1891000000,1891000000,2125039526548364,2125039526548408,44
94,0,0,2,noop,Deterministic,1,1891000000,1891000000,2125041417647492,2125041417647552,60
95,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125043308755868,2125043308755920,52
96,0,0,0,noop,Deterministic,1,1891000000,1891000000,2125045199861220,2125045199861244,24
97,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125047090960964,2125047090960972,8
98,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125048982062356,2125048982062376,20
99,0,0,1,noop,Deterministic,1,1891000000,1891000000,2125050873166768,2125050873166828,60

